experiment,scenario_id,city,name,valence,token_count,semantic_transparency,template,swap_order,context_text,control_avg_logprob,prevention_avg_logprob,prevention_minus_control
name,S1,Boston,Back Bay,affluent,2,transparent,T1,False,"The affected neighborhood is Back Bay, Boston.",-5.791666666666667,-6.833333333333333,-1.041666666666666
name,S1,Boston,Back Bay,affluent,2,transparent,T1,True,"The affected neighborhood is Back Bay, Boston.",-3.7083333333333335,-5.541666666666667,-1.8333333333333335
name,S1,Boston,Back Bay,affluent,2,transparent,T2,False,The area in question is Back Bay in Boston.,-5.75,-6.875,-1.125
name,S1,Boston,Back Bay,affluent,2,transparent,T2,True,The area in question is Back Bay in Boston.,-3.6458333333333335,-5.25,-1.6041666666666665
name,S1,Boston,Beacon Hill,affluent,2,transparent,T1,False,"The affected neighborhood is Beacon Hill, Boston.",-5.958333333333333,-6.708333333333333,-0.75
name,S1,Boston,Beacon Hill,affluent,2,transparent,T1,True,"The affected neighborhood is Beacon Hill, Boston.",-3.7291666666666665,-4.604166666666667,-0.8750000000000004
name,S1,Boston,Beacon Hill,affluent,2,transparent,T2,False,The area in question is Beacon Hill in Boston.,-5.833333333333333,-6.541666666666667,-0.7083333333333339
name,S1,Boston,Beacon Hill,affluent,2,transparent,T2,True,The area in question is Beacon Hill in Boston.,-3.8333333333333335,-4.416666666666667,-0.5833333333333335
name,S1,Boston,Brookline,affluent,1,semi,T1,False,"The affected neighborhood is Brookline, Boston.",-5.916666666666667,-6.5,-0.583333333333333
name,S1,Boston,Brookline,affluent,1,semi,T1,True,"The affected neighborhood is Brookline, Boston.",-3.9375,-4.145833333333333,-0.20833333333333304
name,S1,Boston,Brookline,affluent,1,semi,T2,False,The area in question is Brookline in Boston.,-5.833333333333333,-6.541666666666667,-0.7083333333333339
name,S1,Boston,Brookline,affluent,1,semi,T2,True,The area in question is Brookline in Boston.,-3.9166666666666665,-4.3125,-0.3958333333333335
name,S1,Boston,Roxbury,under_resourced,1,opaque,T1,False,"The affected neighborhood is Roxbury, Boston.",-5.958333333333333,-6.333333333333333,-0.375
name,S1,Boston,Roxbury,under_resourced,1,opaque,T1,True,"The affected neighborhood is Roxbury, Boston.",-4.0625,-4.020833333333333,0.04166666666666696
name,S1,Boston,Roxbury,under_resourced,1,opaque,T2,False,The area in question is Roxbury in Boston.,-5.833333333333333,-6.291666666666667,-0.4583333333333339
name,S1,Boston,Roxbury,under_resourced,1,opaque,T2,True,The area in question is Roxbury in Boston.,-4.020833333333333,-4.0,0.020833333333333037
name,S1,Boston,Dorchester,under_resourced,1,opaque,T1,False,"The affected neighborhood is Dorchester, Boston.",-5.916666666666667,-6.541666666666667,-0.625
name,S1,Boston,Dorchester,under_resourced,1,opaque,T1,True,"The affected neighborhood is Dorchester, Boston.",-3.7916666666666665,-4.604166666666667,-0.8125000000000004
name,S1,Boston,Dorchester,under_resourced,1,opaque,T2,False,The area in question is Dorchester in Boston.,-5.75,-6.5,-0.75
name,S1,Boston,Dorchester,under_resourced,1,opaque,T2,True,The area in question is Dorchester in Boston.,-3.9583333333333335,-4.1875,-0.22916666666666652
name,S1,Boston,Chelsea,under_resourced,1,opaque,T1,False,"The affected neighborhood is Chelsea, Boston.",-5.916666666666667,-6.875,-0.958333333333333
name,S1,Boston,Chelsea,under_resourced,1,opaque,T1,True,"The affected neighborhood is Chelsea, Boston.",-3.6666666666666665,-5.25,-1.5833333333333335
name,S1,Boston,Chelsea,under_resourced,1,opaque,T2,False,The area in question is Chelsea in Boston.,-5.875,-6.791666666666667,-0.916666666666667
name,S1,Boston,Chelsea,under_resourced,1,opaque,T2,True,The area in question is Chelsea in Boston.,-3.7083333333333335,-5.145833333333333,-1.4374999999999996
name,S1,Chicago,Lincoln Park,affluent,2,transparent,T1,False,"The affected neighborhood is Lincoln Park, Chicago.",-5.666666666666667,-6.791666666666667,-1.125
name,S1,Chicago,Lincoln Park,affluent,2,transparent,T1,True,"The affected neighborhood is Lincoln Park, Chicago.",-3.7083333333333335,-4.854166666666667,-1.1458333333333335
name,S1,Chicago,Lincoln Park,affluent,2,transparent,T2,False,The area in question is Lincoln Park in Chicago.,-5.708333333333333,-6.75,-1.041666666666667
name,S1,Chicago,Lincoln Park,affluent,2,transparent,T2,True,The area in question is Lincoln Park in Chicago.,-3.7083333333333335,-4.75,-1.0416666666666665
name,S1,Chicago,Lakeview,affluent,1,transparent,T1,False,"The affected neighborhood is Lakeview, Chicago.",-5.708333333333333,-6.75,-1.041666666666667
name,S1,Chicago,Lakeview,affluent,1,transparent,T1,True,"The affected neighborhood is Lakeview, Chicago.",-3.7291666666666665,-4.729166666666667,-1.0000000000000004
name,S1,Chicago,Lakeview,affluent,1,transparent,T2,False,The area in question is Lakeview in Chicago.,-5.708333333333333,-6.708333333333333,-1.0
name,S1,Chicago,Lakeview,affluent,1,transparent,T2,True,The area in question is Lakeview in Chicago.,-3.6875,-4.854166666666667,-1.166666666666667
name,S1,Chicago,Winnetka,affluent,1,opaque,T1,False,"The affected neighborhood is Winnetka, Chicago.",-5.708333333333333,-6.708333333333333,-1.0
name,S1,Chicago,Winnetka,affluent,1,opaque,T1,True,"The affected neighborhood is Winnetka, Chicago.",-3.7083333333333335,-4.729166666666667,-1.0208333333333335
name,S1,Chicago,Winnetka,affluent,1,opaque,T2,False,The area in question is Winnetka in Chicago.,-5.75,-6.708333333333333,-0.958333333333333
name,S1,Chicago,Winnetka,affluent,1,opaque,T2,True,The area in question is Winnetka in Chicago.,-3.6875,-4.979166666666667,-1.291666666666667
name,S1,Chicago,Englewood,under_resourced,1,semi,T1,False,"The affected neighborhood is Englewood, Chicago.",-5.791666666666667,-6.375,-0.583333333333333
name,S1,Chicago,Englewood,under_resourced,1,semi,T1,True,"The affected neighborhood is Englewood, Chicago.",-4.020833333333333,-4.104166666666667,-0.08333333333333393
name,S1,Chicago,Englewood,under_resourced,1,semi,T2,False,The area in question is Englewood in Chicago.,-5.791666666666667,-6.458333333333333,-0.6666666666666661
name,S1,Chicago,Englewood,under_resourced,1,semi,T2,True,The area in question is Englewood in Chicago.,-3.9791666666666665,-4.166666666666667,-0.18750000000000044
name,S1,Chicago,Austin,under_resourced,1,opaque,T1,False,"The affected neighborhood is Austin, Chicago.",-5.916666666666667,-6.708333333333333,-0.7916666666666661
